repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
Raduana-Khawla_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,mern/docker-compose.yaml,2,2,0,0
RaunakK22UB_MERN-DevOps-Project-CI-CD-Cloud-Deployment,correct,1.0000,1.0000,2,0,0,0,0,1,1,devops-course/docker-compose.yml,2,2,1,1
React-Express,wrong,0.0000,1.0000,1,1,1,0,0,0,0,,0,0,0,0
React-Node-Nginx-Docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,0,0
React-Node-Typescript-Docker,mostly_correct,1.0000,0.5000,2,0,0,1,0,1,1,docker-compose.yml,0,0,1,0
ReactApp_with_ExpressJS,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
ReactMongoDocker,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
ReactNodeMongo,mostly_correct,0.5000,1.0000,2,0,1,0,0,0,0,,0,0,0,0
ReactNodeTesting-CICD-Docker,wrong,0.3333,1.0000,3,0,2,0,0,1,1,docker-compose.yml,0,0,1,1
React_Node_Postgre_Docker,wrong,0.0000,1.0000,2,4,2,0,4,1,1,task_app/docker-compose.yml,0,0,0,0
RenuRoshni_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
RenukaGaidhane_mern-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
Rishabh2503_mern-docker-composer,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Robert-W_mern-kit,wrong,0.0000,1.0000,1,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
RychkovIurii_boardgamecafe,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,0,1,0
Sahilkhan-17_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Sahilvinchhi_MERN-App-Docker-Compose,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
SampathVinayak07_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Sareenh1_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
SatyajitNayak-Exelixi_MERN-DOCKER-COMPOSE,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Saud215_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,1,1,1
SauveJeanLuc_vote-mern,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
Seans-ReactJS-NodeJS-MongoDB-Boilerplate,wrong,0.0000,1.0000,1,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
Shahid0099_MERN-Stack-docker-compose,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,0,0
Shashanka-opsDev_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Shrikant-Kritikalhire_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Shrikanthpawar_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Shrutie55_Hospital_ManagementSys_Citycare,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,3,0,1,1
StoryTime,wrong,0.0000,1.0000,1,1,1,0,0,0,0,,0,0,0,0
SudiptaKumarBhowmick_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Surender0905_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
SweetDeals,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,0
SwrN06_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,0,0
SyLe-Van_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Task-Tracker,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
Taskly_,correct,1.0000,1.0000,2,0,0,0,0,1,1,backend/docker-compose.yml,1,1,1,0
Template-Vite_React-Node_Js-Express-Sequelize,correct,1.0000,1.0000,2,0,0,0,0,1,1,app/docker-compose.yml,2,2,0,0
TodoList-Relay,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
Toluwanee_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
TomarShubhangi_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
